transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,Georeference
03/10/2023 12:00:00 AM,subway,318,"34 St-Penn Station (1,2,3)",Manhattan,metrocard,Metrocard - Unlimited 7-Day,72,0,40.75037384033203,-73.99105834960938,POINT (-73.99105834960938 40.75037384033203)
03/10/2023 12:00:00 AM,subway,318,"34 St-Penn Station (1,2,3)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,60,0,40.75037384033203,-73.99105834960938,POINT (-73.99105834960938 40.75037384033203)
03/10/2023 12:00:00 AM,subway,319,28 St (1),Manhattan,metrocard,Metrocard - Fair Fare,4,0,40.747215270996094,-73.99336242675781,POINT (-73.99336242675781 40.747215270996094)
03/10/2023 12:00:00 AM,subway,318,"34 St-Penn Station (1,2,3)",Manhattan,omny,OMNY - Seniors & Disability,2,0,40.75037384033203,-73.99105834960938,POINT (-73.99105834960938 40.75037384033203)
03/10/2023 12:00:00 AM,subway,318,"34 St-Penn Station (1,2,3)",Manhattan,omny,OMNY - Other,4,0,40.75037384033203,-73.99105834960938,POINT (-73.99105834960938 40.75037384033203)
03/10/2023 12:00:00 AM,subway,318,"34 St-Penn Station (1,2,3)",Manhattan,omny,OMNY - Full Fare,414,1,40.75037384033203,-73.99105834960938,POINT (-73.99105834960938 40.75037384033203)
03/10/2023 12:00:00 AM,subway,319,28 St (1),Manhattan,metrocard,Metrocard - Other,3,0,40.747215270996094,-73.99336242675781,POINT (-73.99336242675781 40.747215270996094)
03/10/2023 12:00:00 AM,subway,319,28 St (1),Manhattan,metrocard,Metrocard - Full Fare,16,0,40.747215270996094,-73.99336242675781,POINT (-73.99336242675781 40.747215270996094)
03/10/2023 12:00:00 AM,subway,319,28 St (1),Manhattan,metrocard,Metrocard - Unlimited 30-Day,9,0,40.747215270996094,-73.99336242675781,POINT (-73.99336242675781 40.747215270996094)
03/10/2023 12:00:00 AM,subway,319,28 St (1),Manhattan,metrocard,Metrocard - Unlimited 7-Day,24,0,40.747215270996094,-73.99336242675781,POINT (-73.99336242675781 40.747215270996094)
03/10/2023 12:00:00 AM,subway,319,28 St (1),Manhattan,omny,OMNY - Full Fare,59,0,40.747215270996094,-73.99336242675781,POINT (-73.99336242675781 40.747215270996094)
03/10/2023 12:00:00 AM,subway,32,"36 St (D,N,R)",Brooklyn,metrocard,Metrocard - Other,13,0,40.65514373779297,-74.00354766845703,POINT (-74.00354766845703 40.65514373779297)
03/10/2023 12:00:00 AM,subway,32,"36 St (D,N,R)",Brooklyn,metrocard,Metrocard - Full Fare,11,0,40.65514373779297,-74.00354766845703,POINT (-74.00354766845703 40.65514373779297)
03/10/2023 12:00:00 AM,subway,32,"36 St (D,N,R)",Brooklyn,metrocard,Metrocard - Fair Fare,2,0,40.65514373779297,-74.00354766845703,POINT (-74.00354766845703 40.65514373779297)
03/10/2023 12:00:00 AM,subway,32,"36 St (D,N,R)",Brooklyn,metrocard,Metrocard - Unlimited 30-Day,2,0,40.65514373779297,-74.00354766845703,POINT (-74.00354766845703 40.65514373779297)
03/10/2023 12:00:00 AM,subway,32,"36 St (D,N,R)",Brooklyn,metrocard,Metrocard - Unlimited 7-Day,5,0,40.65514373779297,-74.00354766845703,POINT (-74.00354766845703 40.65514373779297)
03/10/2023 12:00:00 AM,subway,32,"36 St (D,N,R)",Brooklyn,omny,OMNY - Full Fare,24,0,40.65514373779297,-74.00354766845703,POINT (-74.00354766845703 40.65514373779297)
03/10/2023 12:00:00 AM,subway,320,23 St (1),Manhattan,metrocard,Metrocard - Full Fare,16,1,40.74407958984375,-73.99565887451172,POINT (-73.99565887451172 40.74407958984375)
03/10/2023 12:00:00 AM,subway,320,23 St (1),Manhattan,metrocard,Metrocard - Fair Fare,3,0,40.74407958984375,-73.99565887451172,POINT (-73.99565887451172 40.74407958984375)
03/10/2023 12:00:00 AM,subway,320,23 St (1),Manhattan,metrocard,Metrocard - Seniors & Disability,3,0,40.74407958984375,-73.99565887451172,POINT (-73.99565887451172 40.74407958984375)
03/10/2023 12:00:00 AM,subway,320,23 St (1),Manhattan,metrocard,Metrocard - Unlimited 30-Day,9,0,40.74407958984375,-73.99565887451172,POINT (-73.99565887451172 40.74407958984375)
03/10/2023 12:00:00 AM,subway,320,23 St (1),Manhattan,metrocard,Metrocard - Other,1,0,40.74407958984375,-73.99565887451172,POINT (-73.99565887451172 40.74407958984375)
03/10/2023 12:00:00 AM,subway,320,23 St (1),Manhattan,omny,OMNY - Full Fare,52,0,40.74407958984375,-73.99565887451172,POINT (-73.99565887451172 40.74407958984375)
